location_id,organization_id,name,aka,accessibility,coordinates,description,emails,location_hours,location_languages,short_desc,transportation
"Lf8PJ9dQhHUmHNtNba8LxRfXo","o5KjUU75Odcv9uWG5NnWHP6cb","Fair Oaks Adult Activity Center","","ramp,restroom,disabled_parking,wheelchair","0.0,0.0","A walk-in center for older adults that provides social services, wellness, recreational, educational and creative activities including arts and crafts, computer classes and gardening classes. Coffee and healthy breakfasts are available daily. A hot lunch is served Tuesday-Friday for persons age 60 or over and spouse.        Provides case management (including in-home assessments) and bilingual information and referral about community services to persons age 60 or over on questions of housing, employment, household help, recreation and social activities, home delivered meals, health and counseling services and services to shut-ins. Health insurance and legal counseling is available by appointment. Lectures on a variety of health and fitness topics are held monthly in both English and Spanish.  Provides a variety of physical fitness opportunities, including a garden club, yoga, tai chi, soul line dance and aerobics classes geared toward older adults. Also provides free monthly blood pressure screenings, quarterly blood glucose monitoring and health screenings by a visiting nurse. Offers a Brown Bag Program in which low-income seniors can receive a bag of groceries each week for a membership fee of $10 a year. Offers Spanish lessons. Formerly known as Peninsula Family Service, Fair Oaks Intergenerational Center. Formerly known as the Fair Oaks Senior Center. Formerly known as Family Service Agency of San Mateo County, Fair Oaks Intergenerational Center.","["cgonzalez@peninsulafamilyservice.org"]","","","A multipurpose senior citizens' center serving the Redwood City area.","SAMTRANS stops in front."
"35aZ4TRqh3GHIpgHI59wqbsfc","o5KjUU75Odcv9uWG5NnWHP6cb","Second Career Employment Program","","wheelchair","0.0,0.0","Provides training and job placement to eligible people age 55 or over who meet certain income qualifications. An income of 125% of poverty level or less is required for subsidized employment and training. (No income requirements for job matchup program.) If a person seems likely to be qualified after a preliminary phone call or visit, he or she must complete an application at this office. Staff will locate appropriate placements for applicants, provide orientation and on-the-job training and assist with finding a job outside the program. Any county resident, regardless of income, age 55 or over has access to the program, job developers and the job bank. Also provides referrals to classroom training. Formerly known as Family Service Agency of San Mateo County, Senior Employment Services.","["bbrown@peninsulafamilyservice.org"]","","","Provides training and job placement to eligible persons age 55 or over. All persons age 55 or over have access to information in the program's job bank.","SAMTRANS stops within 1 block, CALTRAIN stops within 6 blocks."
"BLzYdkzds1v7cQU69tZrtKfy4","o5KjUU75Odcv9uWG5NnWHP6cb","Senior Peer Counseling","","","0.0,0.0","Offers supportive counseling services to San Mateo County residents age 55 or over. Volunteer counselors are selected and professionally trained to help their peers face the challenges and concerns of growing older.  Training provides topics that include understanding depression, cultural competence, sexuality, community resources, and other subjects that are relevant to working with older adults. After completion of training, weekly supervision groups are provided for the volunteer senior peer counselors, as well as quarterly in-service training seminars. Peer counseling services are provided in English, Spanish, Chinese (Cantonese and Mandarin), Tagalog, and to the lesbian, gay, bisexual, transgender older adult community. Formerly known as Family Service Agency of San Mateo County, Senior Peer Counseling.","[]","","","Offers supportive counseling services to older persons.","Service is provided in person's home or at a mutually agreed upon location."
"FjGHwR93Db14eU8z8trvGEoeo","o5KjUU75Odcv9uWG5NnWHP6cb","Family Visitation Center","","wheelchair","0.0,0.0","Provides supervised visitation services and a neutral site for parents to carry out supervised exchanges of children in a safe manner. Therapeutic visitation and other counseling services available. Kids in the Middle is an education class for separating or divorcing parents. The goal is to enable parents to focus on their children's needs while the family is going through separation, divorce or other transition. The class explores the psychological aspects of divorce and its impact on children, builds effective communication techniques and points out areas in which outside help may be indicated. The fee is $50 for working parents, $15 for unemployed people. Classes are scheduled on Saturdays and Sundays and held at various sites throughout the county. Call 650-403-4300 ext. 4500 to register. Formerly known as Family Service Agency of San Mateo County, Family Visitation Center.","["kpesavento@peninsulafamilyservice.org"]","","","Provides supervised visitation services and a neutral site for parents in extremely hostile divorces to carry out supervised exchanges of children.","SAMTRANS stops within 1 block, CALTRAIN stops within 4 blocks."
"P3ZefNwqhjKGW9zYyVsd4wSdv","o5KjUU75Odcv9uWG5NnWHP6cb","Economic Self - Sufficiency Program","","wheelchair","0.0,0.0","Provides fixed 8% short term loans to eligible applicants for the purchase of a reliable, used autmobile. Loans are up to $6,000 over 2 1/2 years (30 months). Funds must go towards the entire purchase of the automobile. Peninsula Family Service originates loans and collaborates with commercial partner banks to service the loans, helping clients build credit histories. Formerly known as Family Service Agency of San Mateo County, Ways to Work Family Loan Program.","["waystowork@peninsulafamilyservice.org"]","","","Makes small loans to working families.","SAMTRANS stops within 1 block. CALTRAIN stops within 6 blocks."
"AQquzksfvVOzZzQPyyk4tzCMW","bUlLaM5dgd0R32SCVauqFNYST","Little House","","disabled_parking,wheelchair","0.0,0.0","A multipurpose center offering a wide variety of recreational, education and cultural activities. Lifelong learning courses cover topics such as music, art, languages, etc., are hosted at this location. Little House offers a large variety of classes including arts and crafts, jewelry, languages, current events, lapidary, woodwork, painting, and fitness courses (yoga, strength straining, tai chi). There are monthly art and cultural lectures, movie showings, and a computer center. Recreation activities include mah jong, pinochle, ballroom dancing, bridge, trips and tours. Partners with the Sequoia Adult Education Program. The Alzheimer's Cafe, open the third Tuesday of every month from 2:00 - 4:00 pm, is a place that brings together people liviing with dementia, their families, and their caregivers. Free and no registration is needed. The Little House Community Service Desk offers information and referrals regarding social service issues, such as housing, food, transportation, health insurance counseling, and estate planning. Massage, podiatry, and acupuncture are available by appointment. Lunch is served Monday-Friday, 11:30 am-1:00 pm. Prices vary according to selection.","["polson@peninsulavolunteers.org"]","","","A multipurpose senior citizens' center.","SAMTRANS stops within 3 blocks, RediWheels and Menlo Park Shuttle stop at door."
"4ogorcxOlqnY5FTTbejAEohmZ","bUlLaM5dgd0R32SCVauqFNYST","Rosener House Adult Day Services","","ramp,restroom,disabled_parking,wheelchair","0.0,0.0","Rosener House is a day center for older adults who may be unable to live independently but do not require 24-hour nursing care, may be isolated and in need of a planned activity program, may need assistance with activities of daily living or are living in a family situation where the caregiver needs respite from giving full-time care. Assists elderly persons to continue to live with family or alone rather than moving to a skilled nursing facility. Activities are scheduled Monday-Friday, 10 am-2:30 pm, and participants may come two to five days per week. The facility is open from 8 am to 5:30 pm for participants who need to remain all day. Small group late afternoon activities are held from 3-5:30 pm.   The program provides a noon meal including special diets as required. Services offered include social and therapeutic recreational activities, individual and family counseling and occupational, physical and speech therapy. A registered nurse is available daily. The Dementia and Alzheimer's Services Program provides specialized activities in a supportive environment for participants with Alzheimer's disease and other dementias. Holds a weekly support group for caregivers.  An early memory loss class for independent adults, Minds in Motion meets weekly at Rosener House on Wednesday mornings. Call for more information.","["bkalt@peninsulavolunteers.org", "fmarchick@peninsulavolunteers.org"]","","","A day center for adults age 50 or over.","Transportation can be arranged via Redi-Wheels or Outreach."
"F8XEOnScPvoOw28tlkIksQRWk","bUlLaM5dgd0R32SCVauqFNYST","Meals on Wheels - South County","","","0.0,0.0","Delivers a hot meal to the home of persons age 60 or over who are primarily homebound and unable to prepare their own meals, and have no one to prepare meals. Also, delivers a hot meal to the home of disabled individuals ages 18-59. Meals are delivered between 9 am-1:30 pm, Monday-Friday. Special diets are accommodated: low fat, low sodium, and low sugar.","["mbaker-venturini@peninsulavolunteers.org"]","","","Will deliver a hot meal to the home of persons age 60 or over who are homebound and unable to prepare their own meals. Can provide special diets.","Not necessary for service."
"bXvSRTVqYpubpsqF5grU1MEbW","uQGM9xK9waKG5xnC3wE1NhmO6","Fair Oaks Branch","","ramp,restroom,wheelchair","0.0,0.0","Provides general reading material, including bilingual, multi-cultural books, CDs and cassettes, bilingual and Spanish language reference services. School, class and other group visits may be arranged by appointment. The library is a member of the Peninsula Library System.","[]","","","Provides general reading materials and reference services.","SAMTRANS stops in front."
"nDAlsrawVULWR1vhkKIkwZijs","uQGM9xK9waKG5xnC3wE1NhmO6","Main Library","","elevator,tape_braille,ramp,restroom,disabled_parking,wheelchair","0.0,0.0","Provides general reading and media materials, literacy and homework assistance, and programs for all ages. Provides public computers, wireless connectivity, a children's room, teen center, and a local history collection. The library is a member of the Peninsula Library System. The Fair Oaks Branch (650-780-7261) is located at 2510 Middlefield Road and is open Monday-Thursday, 10-7; Friday, 10-5. The Schaberg Branch (650-780-7010) is located at 2140 Euclid Avenue and is open Tuesday-Thursday, 1-6; Saturday, 10-3. The Redwood Shores Branch (650-780-5740) is located at 399 Marine Parkway and is open Monday-Thursday, 10-8; Saturday, 10-5; Sunday 12-5.","["rclinfo@redwoodcity.org"]","","","Provides general reference and reading materials to adults, teenagers and children.","SAMTRANS stops within 1 block; CALTRAIN stops within 1 block."
