service_id,organization_id,location_id,audience,description,eligibility,fees,keywords,how_to_apply,wait,name,service_areas,short_desc,service_languages,service_hours,wait,method_of_payment
"7Xur93n1dGSSCvhELrEBSyz93","o5KjUU75Odcv9uWG5NnWHP6cb","Lf8PJ9dQhHUmHNtNba8LxRfXo","Older adults age 55 or over, ethnic minorities and low-income persons","Age 55 or over for most programs, age 60 or over for lunch program","$2.50 suggested donation for lunch for age 60 or over, donations for other services appreciated. Cash and checks accepted.","ADULT PROTECTION AND CARE SERVICES,Meal Sites/Home-delivered Mea,COMMUNITY SERVICES,Group Support,Information and Referral,EDUCATION SERVICES,English Language,RECREATION/LEISURE SERVICES,Arts and Crafts,Sports/Games/Exercise,Brown Bag Food Programs,Congregate Meals/Nutrition Sites,Senior Centers,Older Adults","Walk in or apply by phone.","","Redwood City","","","","No wait.",""
"iB6LVtCl6rjKUJlvyEBZ6V19D","o5KjUU75Odcv9uWG5NnWHP6cb","35aZ4TRqh3GHIpgHI59wqbsfc","Residents of San Mateo County age 55 or over","Age 55 or over, county resident and willing and able to work. Income requirements vary according to program","None. Donations requested of clients who can afford it.","EMPLOYMENT/TRAINING SERVICES,Job Development,Job Information/Placement/Referral,Job Training,Job Training Formats,Job Search/Placement,Older Adults","Apply by phone for an appointment.","","San Mateo County","","","","Varies.",""
"HePuTG2UXB1kivehzhEldXvsl","o5KjUU75Odcv9uWG5NnWHP6cb","BLzYdkzds1v7cQU69tZrtKfy4","Older adults age 55 or over who can benefit from counseling","Resident of San Mateo County age 55 or over","None.","Geriatric Counseling,Older Adults,Gay, Lesbian, Bisexual, Transgender Individuals","Phone for information (403-4300 Ext. 4322).","","San Mateo County","","","","Varies.",""
"fxaIGWh50LKMaHPftjPvOYvJH","o5KjUU75Odcv9uWG5NnWHP6cb","FjGHwR93Db14eU8z8trvGEoeo","Parents, children, families with problems of custody disputes, domestic violence or substance abuse, families going through a separation or divorce","None","Vary according to income ($5-$90). Cash, checks and credit cards accepted.","INDIVIDUAL AND FAMILY DEVELOPMENT SERVICES,Growth and Adjustment,LEGAL AND CRIMINAL JUSTICE SERVICES,Mediation,Parental Visitation Monitoring,Divorce Counseling,Youth","Apply by phone.","","San Mateo County","","","","No wait.",""
"x7Bu3421hTw4X7JS3XOOICTRc","o5KjUU75Odcv9uWG5NnWHP6cb","P3ZefNwqhjKGW9zYyVsd4wSdv","Target group: Low-income working families with children transitioning from welfare to work and poor or who do not have access to conventional credit","Eligibility: Low-income family with legal custody of a minor child or an involved parent of a dependent minor child. Must reside and/or work in San Mateo County. Must be working and have verifiable income and ability to pay off loan. No bankruptcies in the past two years and unable to qualify for other funding sources. Loans approved by loan committee.","$60 application fee. Cash or checks accepted.","COMMUNITY SERVICES,Speakers,Automobile Loans","Phone for information.","","San Mateo County","","","","",""
"kKey3CzEx6pkyFmjvRorGkGJG","bUlLaM5dgd0R32SCVauqFNYST","AQquzksfvVOzZzQPyyk4tzCMW","Any age","None","$55 per year membership dues. Classes have fees. Discounts are available for members. Cash, checks and credit cards accepted.","ADULT PROTECTION AND CARE SERVICES,In-Home Supportive,Meal Sites/Home-delivered Meals,COMMUNITY SERVICES,Group Support,Information and Referral,EDUCATION SERVICES,Adult,HEALTH SERVICES,Education/Information,Family Support,Individual/Group Counseling,Screening/Immunization,RECREATION/LEISURE SERVICES,Sports/Games/Exercise,Community Adult Schools,Senior Centers,Older Adults","Walk in or apply by phone for membership application.","","San Mateo County,Santa Clara County","","","","No wait.",""
"PhfkaDp8ECncK4zv5TmISfwfY","bUlLaM5dgd0R32SCVauqFNYST","4ogorcxOlqnY5FTTbejAEohmZ","Older adults who have memory or sensory loss, mobility limitations and may be lonely and in need of socialization","Age 18 or over","$85 per day. Vary according to income for those unable to pay full fee. Cash, checks, credit cards, private insurance and vouchers accepted.","ADULT PROTECTION AND CARE SERVICES,Adult Day Health Care,Dementia Management,Adult Day Programs,Older Adults","Apply by phone or be referred by a doctor, social worker or other professional. All prospective participants are interviewed individually before starting the program. A recent physical examination is required, including a TB test.","","Atherton,Belmont,Burlingame,East Palo Alto,Los Altos,Los Altos Hills,Menlo Park,Mountain View,Palo Alto,Portola Valley,Redwood City,San Carlos,San Mateo,Sunnyvale,Woodside","","","","No wait.",""
"uTXdftHakakDpMMw6bfbJSP4m","bUlLaM5dgd0R32SCVauqFNYST","F8XEOnScPvoOw28tlkIksQRWk","Senior citizens age 60 or over, disabled individuals age 18-59","Homebound person unable to cook or shop","Suggested donation of $4.25 per meal for seniors 60 or over. Mandatory charge of $2 per meal for disabled individuals ages 18-59.","ADULT PROTECTION AND CARE SERVICES,Meal Sites/Home-delivered Mea,HEALTH SERVICES,Nutrition,Home Delivered Meals,Older Adults,Disabilities Issues","Apply by phone.","","Atherton,Belmont,East Palo Alto,Menlo Park,Portola Valley,Redwood City,San Carlos,Woodside","","","","No wait.",""
"UFxHS8hCLn0WVHg2at81zL4DM","uQGM9xK9waKG5xnC3wE1NhmO6","bXvSRTVqYpubpsqF5grU1MEbW","Ethnic minorities, especially Spanish speaking","Resident of California to obtain a library card","None.","EDUCATION SERVICES,Library,Libraries,Public Libraries","Walk in. Proof of residency in California required to receive a library card.","","San Mateo County","","","","No wait.",""
"FumMzpqyKvwI0mrE1r0W3axn5","uQGM9xK9waKG5xnC3wE1NhmO6","nDAlsrawVULWR1vhkKIkwZijs","","Resident of California to obtain a card","None.","EDUCATION SERVICES,Library,Libraries,Public Libraries","Walk in. Proof of California residency to receive a library card.","","San Mateo County","","","","No wait.",""
"dgIpX1Uie2NdML9naMnFpXK9W","uQGM9xK9waKG5xnC3wE1NhmO6","r0pfe5vyth869bFxcqz1CIB7w","","Resident of California to obtain a library card for borrowing materials","None.","EDUCATION SERVICES,Library,Libraries,Public Libraries","Walk in. Proof of California residency required to receive a library card.","","San Mateo County","","","","No wait.",""
